      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size         P         R     mAP50   mAP50-95   
      1/300      1.27G      1.594      2.925      3.731          5        608    0.5067    0.2241    0.1609   0.04038
      2/300      1.36G      1.554      2.412      3.621          4        608    0.2861    0.4419    0.3216    0.1305
      3/300      1.37G      1.428      2.162      3.513         15        608    0.3514    0.4421    0.3946    0.1967
      4/300      1.47G      1.328      1.955      3.389         19        608    0.4147    0.5555    0.4398    0.2331
      5/300      1.48G      1.242      1.819      3.241         26        608    0.4346     0.591    0.4932    0.2689
      6/300      1.48G      1.196      1.739      3.132          3        608    0.4982    0.5981    0.5342    0.3029
      7/300      1.58G      1.114      1.637      3.014         12        608    0.5003    0.6161    0.5619    0.3222
      8/300      1.58G      1.075      1.599      2.994         17        608     0.529    0.6292    0.5817    0.3268
      9/300      1.58G      1.014       1.53      2.843         12        608    0.5254    0.6512    0.5922    0.3599
     10/300      1.58G     0.9737      1.491      2.771          7        608    0.5306    0.6754    0.6079    0.3615
     11/300      1.58G     0.9569      1.472      2.702          5        608    0.5409    0.6567    0.6058    0.3762
     12/300      1.58G     0.9313      1.445      2.646         15        608    0.5459    0.6591    0.6142    0.3892
     13/300      1.58G     0.9162      1.445      2.614         28        608    0.5544    0.6709    0.6193    0.3955
     14/300      1.58G     0.8853      1.396      2.547          8        608    0.5734    0.6775    0.6357    0.3969
     15/300      1.58G     0.8677      1.401      2.512         18        608    0.5569    0.6856      0.64    0.4164
     16/300      1.69G     0.8454      1.385      2.471         17        608    0.5806    0.6662     0.637    0.4122
     17/300      1.69G     0.8387      1.369      2.439          4        608    0.5818    0.6834    0.6586    0.4377
     18/300      1.69G     0.8358      1.362      2.422          8        608    0.5549    0.6817    0.6455    0.4219
     19/300      1.69G     0.8001      1.329      2.378         21        608    0.5645    0.6791    0.6421    0.4177
     20/300      1.69G     0.8017      1.331      2.377          4        608    0.5571    0.6657    0.6318     0.407
     21/300      1.69G     0.7795      1.307      2.321          7        608    0.5704    0.7036    0.6604      0.44
     22/300      1.69G     0.7882      1.306      2.315         10        608    0.5684    0.6735    0.6488    0.4284
     23/300      1.69G     0.7693      1.289      2.285         18        608    0.5841    0.6978    0.6701    0.4518
     24/300      1.69G     0.7551      1.263      2.267          7        608    0.5724    0.6985     0.672    0.4534
     25/300      1.69G     0.7522      1.292      2.261         20        608    0.5723    0.7026    0.6741    0.4527
     26/300      1.69G      0.748      1.259      2.244          6        608    0.5696    0.6835    0.6583    0.4349
     27/300      1.69G     0.7402      1.255      2.218          5        608    0.5849    0.7104    0.6784    0.4548
     28/300      1.69G     0.7428      1.268      2.222          5        608    0.5761    0.7168     0.679    0.4634
     29/300      1.69G     0.7333       1.25       2.19         23        608    0.5909    0.7004    0.6749    0.4623
     30/300      1.69G      0.724      1.235      2.195          8        608    0.5676    0.6947    0.6641    0.4404
     31/300      1.69G     0.7179      1.237      2.164          2        608     0.566     0.712    0.6768    0.4514
     32/300      1.69G      0.712      1.219      2.149         32        608    0.5883    0.6933    0.6742     0.458
     33/300      1.69G     0.7219      1.222       2.16         16        608    0.6045    0.7055    0.6876    0.4661
     34/300      1.69G     0.6941      1.207       2.12          8        608    0.6014    0.7057    0.6881    0.4757
     35/300      1.69G     0.7005      1.213      2.129          9        608    0.5893    0.6976    0.6773    0.4614
     36/300      1.69G     0.6985       1.21      2.125         12        608    0.5921    0.6941    0.6802     0.468
     37/300      1.69G     0.6884      1.196      2.099         11        608    0.5868    0.7298    0.7031    0.4861
     38/300      1.69G      0.678      1.183       2.09         21        608    0.6325    0.6915    0.6944    0.4818
     39/300      1.69G     0.6771       1.19      2.078         24        608    0.6215    0.7012    0.6964    0.4859
     40/300      1.69G     0.6894      1.181      2.079         13        608    0.6152    0.7137    0.6989    0.4927
     41/300      1.69G     0.6729      1.163      2.064          7        608    0.5957    0.7228    0.7044    0.4895
     42/300      1.69G     0.6803      1.176      2.069         15        608    0.6229    0.7109    0.7027    0.4927
     43/300      1.69G     0.6627      1.148      2.032         18        608    0.6158    0.6732    0.6774    0.4733
     44/300      1.69G     0.6728      1.168      2.055          3        608    0.6124    0.7099    0.7069    0.4947
     45/300      1.69G     0.6704      1.156       2.06          8        608    0.6074    0.7168    0.7037    0.4908
     46/300      1.69G     0.6566      1.152      2.012         11        608    0.6177    0.7164    0.7126    0.5026
     47/300      1.69G     0.6477      1.136      2.009          8        608    0.6133    0.7201    0.7094    0.5004
     48/300      1.69G     0.6491      1.146      2.001          4        608    0.6024    0.6752    0.6751    0.4737
     49/300      1.69G     0.6527      1.146      2.023         20        608    0.6179    0.7173    0.7073     0.499
     50/300      1.69G     0.6429      1.144      2.005         13        608    0.6073    0.7267    0.7104    0.5023
     51/300      1.69G     0.6472      1.134      2.008         12        608    0.6367    0.7059    0.7206    0.5109
     52/300      1.69G     0.6478      1.147      1.992         11        608    0.6352     0.725    0.7248     0.513
     53/300      1.69G     0.6394      1.129      1.976          8        608    0.6378    0.7075    0.7197     0.514
     54/300      1.69G     0.6464      1.125      2.002          7        608    0.6484    0.6965    0.7145    0.5053
     55/300      1.69G     0.6452      1.134      1.986          8        608    0.6039    0.7407    0.7181    0.5126
     56/300      1.69G     0.6373      1.118      1.968         11        608    0.6335    0.7093    0.7171    0.5078
     57/300      1.69G     0.6436       1.12      1.975          9        608    0.6333    0.7152    0.7188    0.5128
     58/300      1.69G     0.6405      1.136      1.971         11        608    0.6435    0.7065    0.7181    0.5112
     59/300      1.69G     0.6288      1.107      1.952          8        608    0.6481    0.7103    0.7257    0.5152
     60/300      1.69G     0.6286      1.112      1.948         14        608    0.6244    0.7248     0.722    0.5168
     61/300      1.69G     0.6242      1.102       1.94          7        608    0.6387    0.7162    0.7268    0.5214
     62/300      1.69G     0.6188      1.101      1.937         17        608    0.6425    0.7253    0.7315    0.5248
     63/300      1.69G     0.6247        1.1      1.944         11        608     0.631    0.7155    0.7194    0.5153
     64/300      1.69G     0.6246      1.096      1.937         28        608    0.6401    0.7188    0.7283    0.5223
     65/300      1.69G     0.6273       1.11      1.961         22        608    0.6425    0.7277    0.7347    0.5272
     66/300      1.69G     0.6101      1.086      1.911          9        608    0.6369    0.7131    0.7216    0.5163
     67/300      1.69G     0.6151      1.076      1.919          7        608    0.6539    0.7131    0.7328    0.5271
     68/300      1.69G     0.6108      1.092       1.91         10        608    0.6525     0.721    0.7375    0.5308
     69/300      1.69G     0.6079        inf      1.909          0        608    0.6345    0.7285    0.7366    0.5283
     70/300      1.69G     0.6111      1.079      1.901          2        608    0.6589    0.7022    0.7294    0.5261
